name,type,region,locality,geolocation
University. Herzen,architecture,St. Petersburg,St. Petersburg,"(Decimal('30.45172'), Decimal('59.857016'))"
Amur Management Society of Shipping and Trade,architecture,Amur region,Blagoveshchensk,"(Decimal('127.527173'), Decimal('50.29064'))"
Management of St. Petersburg and the police Gradonachalstva,architecture,St. Petersburg,St. Petersburg,Not found
Ural State Mining University,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.483317'), Decimal('56.613252'))"
Manor-industrial complex Batashevs-Shepelev,architecture,Nizhny Novgorod Region,Vyksa,"(Decimal('42.167961'), Decimal('55.320683'))"
Manor surveyor gittenfervaltera IV regimental,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
"Estate ""Castle Hill""",architecture,Pskov region,Sebezh,"(Decimal('28.501505'), Decimal('56.275219'))"
"Farmstead ""Red Hill""",architecture,Pskov region,red Hills,"(Decimal('28.911855'), Decimal('58.163178'))"
"Manor ""Marino""",architecture,Leningrad region,Andrianov,"(Decimal('30.887843'), Decimal('59.418998'))"
"Farmstead ""Pushchino""",architecture,Moscow region,Pushchino,"(Decimal('37.620977'), Decimal('54.832479'))"
Manor AI Bashkirova,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.867682'), Decimal('56.348861'))"
Manor Avchurino,architecture,Kaluga region,Avchurino,"(Decimal('36.423074'), Decimal('54.456008'))"
Manor Bazylevskyh,architecture,Nizhny Novgorod Region,Gorki,"(Decimal('45.070571'), Decimal('57.628164'))"
Manor Reds,architecture,Pskov region,,"(Decimal('29.368424'), Decimal('56.674298'))"
Manor Baryatino,architecture,Kaluga region,Baryatino,"(Decimal('34.517325'), Decimal('54.310231'))"
Manor Begichevo,architecture,Kaluga region,State Farm Lenin,"(Decimal('36.084094'), Decimal('54.70804'))"
Manor Belkino,architecture,Kaluga region,Obninsk,"(Decimal('36.59078'), Decimal('55.125237'))"
Manor Berezichi,architecture,Kaluga region,Berezychy,"(Decimal('35.797127'), Decimal('53.978658'))"
Manor Bogimovo,architecture,Kaluga region,Bohymovo,"(Decimal('36.896567'), Decimal('54.532652'))"
Manor Afonyia,architecture,Kostroma region,Kostroma,"(Decimal('41.292095'), Decimal('58.480995'))"
Bryn Manor,architecture,Kaluga region,Brin,"(Decimal('35.28789'), Decimal('54.076677'))"
Manor Bryanchaninovs,architecture,Pskov region,old Linden,"(Decimal('30.036339'), Decimal('56.801804'))"
Manor Vavilov,architecture,Primorsky Krai,Vladivostok,"(Decimal('131.885485'), Decimal('43.115536'))"
Manor Valuev - Neklyudova,architecture,Pskov region,Isle,Not found
Manor Voeikovo with. Olshanka,architecture,Tambov Region,Olshanka,Not found
Manor Vorobyevo,architecture,Kaluga region,,"(Decimal('36.374178'), Decimal('54.866394'))"
Manor Vorontsov-Dashkovs Novotomnikovo,architecture,Tambov Region,,"(Decimal('41.783177'), Decimal('53.769342'))"
Manor GI Yelizaryev,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Gali,architecture,Vologda Region,Cherepovets,"(Decimal('37.903461'), Decimal('59.122612'))"
Golitsyn Manor,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Golitsyn Manor in the village of Murom-Prechistoye,architecture,Smolensk region,Prechistoe,"(Decimal('34.628797'), Decimal('55.662471'))"
Manor Gorodnia,architecture,Kaluga region,Horodnya,"(Decimal('36.402736'), Decimal('54.53064'))"
Manor Georgians,architecture,Tver region,,"(Decimal('35.04504'), Decimal('56.936195'))"
Manor Gudovich,architecture,Tambov Region,Tambov,"(Decimal('42.607633'), Decimal('51.790543'))"
Manor Davydoffs,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
"Manor Demidov ""Great Thais""",architecture,Leningrad region,Thais,"(Decimal('30.109902'), Decimal('59.659304'))"
Manor Drozzhilovyh - G. Peretz,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor of Dubrovka,architecture,Kaluga region,Dubrovka (anniversary),"(Decimal('34.685399'), Decimal('53.586579'))"
EK Manor Schaap,architecture,Novosibirsk region,Novosibirsk,"(Decimal('82.787165'), Decimal('54.865212'))"
Manor Zheleznova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Zagryazhskaya-Stroganoff,architecture,Tambov Region,digit,"(Decimal('41.445204'), Decimal('52.411203'))"
Manor IA Nyquist,architecture,Amur region,Blagoveshchensk,"(Decimal('129.005836'), Decimal('55.328837'))"
Manor Istomino,architecture,Kaluga region,Istomin,"(Decimal('37.075709'), Decimal('54.721921'))"
Manor Kozhin,architecture,Lipetsk region,Repec,"(Decimal('38.224106'), Decimal('52.359931'))"
Manor Kolyshevo,architecture,Kaluga region,Kolyshevo,"(Decimal('36.056309'), Decimal('54.535002'))"
Manor Konetspole,architecture,Kaluga region,Konetspole,"(Decimal('34.824602'), Decimal('54.335762'))"
Manor lions in the village of Altun,architecture,Pskov region,Altun,"(Decimal('29.121154'), Decimal('57.064914'))"
MM Manor Oshurkova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Muraveva Kara,architecture,Lipetsk region,Skornyakov,"(Decimal('38.922519'), Decimal('52.672292'))"
Manor Muromtseva,architecture,Lipetsk region,Balovnevo,"(Decimal('39.035931'), Decimal('53.215521'))"
Manor Nechaev-Maltsev in Polibino,architecture,Lipetsk region,,"(Decimal('38.978763'), Decimal('53.505994'))"
Nikolskoye-Cherenchitsy,architecture,Tver region,Nikolskoye,"(Decimal('35.821849'), Decimal('56.826695'))"
Manor Oshurkova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor PI Tarasova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor P. Schmidt,architecture,Saratov region,Saratov,"(Decimal('45.387865'), Decimal('51.305671'))"
Manor Pavlishcheva,architecture,Kaluga region,Pavlishchev,"(Decimal('35.534334'), Decimal('54.563066'))"
Manor Petrovo Solovovo,architecture,Tambov Region,,"(Decimal('42.607633'), Decimal('51.790543'))"
Manor Petrosele,architecture,Kaluga region,Petrosele,"(Decimal('33.806703'), Decimal('54.175535'))"
Manor Pleshanova,architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Manor Romanov,architecture,Lipetsk region,whenever,"(Decimal('38.224106'), Decimal('52.359931'))"
Manor Rosva,architecture,Kaluga region,ODS,"(Decimal('36.059858'), Decimal('54.504468'))"
Manor Riabinina,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Manor SG Volkonsky,architecture,Irkutsk region,Irkutsk,"(Decimal('104.303972'), Decimal('52.287324'))"
Manor SB Trubetskoy,architecture,Irkutsk region,Irkutsk,"(Decimal('104.089086'), Decimal('52.247918'))"
Manor Samarins,architecture,Samara Region,Privolzhe,"(Decimal('51.352472'), Decimal('52.83917'))"
Manor Stroganoff,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Manor Tarasova,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Trinity,architecture,Kaluga region,powder,"(Decimal('33.728855'), Decimal('54.147183'))"
Manor Tulinova-Vigel,architecture,Voronezh region,Voronezh,"(Decimal('39.654152'), Decimal('51.878214'))"
Manor Turliki,architecture,Kaluga region,Obninsk,"(Decimal('36.59078'), Decimal('55.125237'))"
Manor Usty,architecture,Kaluga region,Usty,"(Decimal('34.959727'), Decimal('53.886732'))"
Manor FI Langotskogo,architecture,Transbaikal region,Chita,"(Decimal('113.468467'), Decimal('52.140152'))"
Manor Khvostov,architecture,Lipetsk region,,"(Decimal('38.224106'), Decimal('52.359931'))"
Manor Kholomki,architecture,Pskov region,Holomky,"(Decimal('29.666566'), Decimal('57.683419'))"
Усадьба Чичериных &quot;Караул&quot;,architecture,Tambov Region,Sovyetsk,Not found
Manor EF Filitts,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.844206'), Decimal('56.776769'))"
Manor Yusupov,architecture,Belgorod region,Rokytne,"(Decimal('35.832871'), Decimal('50.83403'))"
Manor Yanovsky in Kaluga,architecture,Kaluga region,Kaluga,"(Decimal('36.281544'), Decimal('54.575906'))"
architect Manor MP Malakhov,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('61.843141'), Decimal('58.759182'))"
Finca in Galkino,architecture,Kaluga region,Galkino,"(Decimal('35.737946'), Decimal('54.71347'))"
Manor Town Naumova,architecture,Yaroslavskaya oblast,Rybinsk,"(Decimal('38.858406'), Decimal('58.048454'))"
Manor and trade shop merchant Zakharova,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
Manor merchant Dubinin,architecture,Perm,Kungur,"(Decimal('56.944206'), Decimal('57.42881'))"
Manor merchants Koperinyh,architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Manor merchants Trapeznikova,architecture,Irkutsk region,Irkutsk,"(Decimal('104.089086'), Decimal('52.247918'))"
Manor Major Evseev,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.173769'), Decimal('58.453069'))"
Manor tradesman YM Rubinstein,architecture,The Republic of Buryatia,,Not found
"Manor Association ""A. Pechyonkin and K """,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.597465'), Decimal('56.838011'))"
Assumption Cathedral,architecture,Yaroslavskaya oblast,Rostov,"(Decimal('39.414526'), Decimal('57.185866'))"
Assumption Cathedral in Vladimir Monastery Knyaginin,architecture,Vladimir region,,Not found
Educational Building University of Communications (Your Company),architecture,Novosibirsk region,Novosibirsk,"(Decimal('83.049131'), Decimal('54.984006'))"
School AV Shpolsky,architecture,Voronezh region,Voronezh,"(Decimal('39.190711'), Decimal('51.653383'))"
College real,architecture,Lipetsk region,Lipetsk,"(Decimal('39.59922'), Decimal('52.60882'))"
Teacher's Institute,architecture,Republic of Adygea,Maikop,"(Decimal('40.098548'), Decimal('44.608865'))"
Ushkaloyskie twin towers of the XI-XII century,architecture,Chechen Republic,Ushkaloi,Not found
"Feudal castle ""Dzhaboevo""",architecture,Kabardino-Balkar Republic,,Not found
Outbuilding from the estates of merchants Lagin,architecture,Tyumen region,Tyumen,"(Decimal('65.534328'), Decimal('57.153033'))"
"Outbuilding manor I.H.Rasha, 1847 (the house in which he lived the writer Mikhail Saltykov-Shchedrin)",architecture,Kirov region,Kirov,"(Decimal('49.810433'), Decimal('58.612652'))"
"Outbuilding manor Shuravin, 1858 (Museum of Konstantin Tsiolkovsky, Aviation and Astronautics)",architecture,Kirov region,Kirov,"(Decimal('49.810433'), Decimal('58.612652'))"
Lamp lane 3 (Merz House),architecture,St. Petersburg,St. Petersburg,"(Decimal('30.304576'), Decimal('59.929028'))"
Fountain Square,architecture,Penza region,Penza,"(Decimal('45.017265'), Decimal('53.191481'))"
Fountain Square,architecture,Volgograd region,Uryupinsk,"(Decimal('42.00463'), Decimal('50.797124'))"
Forburga castle Eylau,architecture,Kaliningrad region,Bagrationovsk,"(Decimal('20.647714'), Decimal('54.392811'))"
French village,architecture,Volgograd region,Volgograd,"(Decimal('44.516948'), Decimal('48.707067'))"
Art Gallery Smolensk,architecture,Smolensk region,,Not found
Tsarevokokshaisk Kremlin,architecture,Mari El Republic,Yoshkar-Ola,"(Decimal('47.886178'), Decimal('56.631595'))"
Tsaritsynskaya Fire Tower,architecture,Volgograd region,,"(Decimal('44.744923'), Decimal('48.665438'))"
Culture and Art Center NTMK,architecture,Sverdlovsk region,Nizhny Tagil,"(Decimal('59.97019'), Decimal('57.910799'))"
Central water treatment plant Vodocanal (Vodokachka),architecture,Volgograd region,Volgograd,"(Decimal('44.432039'), Decimal('48.440067'))"
The central staircase on the main promenade of Volgograd,architecture,Volgograd region,Volgograd,"(Decimal('44.588822'), Decimal('48.455318'))"
Central embankment of Volgograd,architecture,Volgograd region,,"(Decimal('44.42859'), Decimal('48.441788'))"
central square,architecture,Primorsky Krai,Партизанск,"(Decimal('133.123139'), Decimal('43.119813'))"
Central market,architecture,Volgograd region,Volgograd,"(Decimal('44.649683'), Decimal('48.84164'))"
Central Store (CUM),architecture,Volgograd region,Volgograd,"(Decimal('44.605702'), Decimal('48.544731'))"
"Tea ""Pillars""",architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Tea House Perloff,architecture,Moscow,,"(Decimal('37.637874'), Decimal('55.770218'))"
Clock tower,architecture,Leningrad region,Vyborg,"(Decimal('28.749404'), Decimal('60.710232'))"
Clock tower of Nizhny Novgorod Kremlin,architecture,Nizhny Novgorod Region,Nizhny Novgorod,Not found
Chapel of St. Paraskeva,architecture,Krasnoyarsk region,,"(Decimal('88.545464'), Decimal('69.331082'))"
Chapel-tomb of Lermontov,architecture,Penza region,Lermontovo,"(Decimal('43.658536'), Decimal('52.992567'))"
the arch of the General Staff Hours,architecture,St. Petersburg,St. Petersburg,Not found
Çeboksarskaya GES,architecture,Chuvash Republic,Novocheboksarsk,"(Decimal('47.479125'), Decimal('56.109551'))"
Chesma obelisk,architecture,Leningrad region,Gatchina,"(Decimal('30.124473'), Decimal('59.568492'))"
Chechen towers,architecture,Chechen Republic,,"(Decimal('45.747667'), Decimal('43.305784'))"
Go back Aleksandr Balandin Читальня купца,architecture,Krasnoyarsk region,Pitorafik,"(Decimal('92.154922'), Decimal('58.438931'))"
Chkalov ladder,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('44.006516'), Decimal('56.326797'))"
Chorgunskaya tower,architecture,Sevastopol,,"(Decimal('33.525369'), Decimal('44.616604'))"
Saxon,architecture,Kaliningrad region,Nekrasovo,"(Decimal('22.674143'), Decimal('54.558122'))"
Shatoysky battle tower,architecture,Chechen Republic,Shatoi,"(Decimal('45.690947'), Decimal('42.871047'))"
Sheinovo bastion,architecture,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Shoanynskyy complex,architecture,Karachay-Cherkess Republic,Costa Hetagurova,"(Decimal('41.906561'), Decimal('43.803278'))"
"Tapestry Street, Building 48",architecture,St. Petersburg,St. Petersburg,"(Decimal('30.369003'), Decimal('59.949037'))"
The headquarters of the Central Military District,architecture,Sverdlovsk region,Ekaterinburg,"(Decimal('60.587009'), Decimal('56.805052'))"
Shukhov Tower on the Oka River,architecture,Nizhny Novgorod Region,Dzerzhinsk,"(Decimal('43.541665'), Decimal('56.193968'))"
Eiffel tower in the village of Paris,architecture,Chelyabinsk region,Paris,Not found
Эolova harp,architecture,Stavropol region,Pyatigorsk,"(Decimal('43.07084'), Decimal('44.03929'))"
South Gate Golden Abode of Buddha Shakyamuni,architecture,Republic of Kalmykia,Elista,"(Decimal('44.269759'), Decimal('46.307743'))"
South Temple to the Nizhne-Arkhyz settlement,architecture,Karachay-Cherkess Republic,Nizhniy Arkhyz,Not found
Fair building,architecture,Nizhny Novgorod Region,Nizhny Novgorod,"(Decimal('43.956974'), Decimal('56.330261'))"
Yaroslav's Court,architecture,Novgorod region,Novgorod,"(Decimal('31.284665'), Decimal('58.518787'))"
Yaroslavsky Station,architecture,Moscow,,"(Decimal('37.657727'), Decimal('55.776472'))"
Yaroslavl Garrison Hospital,architecture,Yaroslavskaya oblast,Yaroslavl,"(Decimal('39.914735'), Decimal('57.598693'))"
? Women's Mariinsky gymnasium,architecture,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
2nd women's gymnasium,architecture,Volgograd region,Volgograd,"(Decimal('44.571152'), Decimal('48.773962'))"
"""Tower of Death""",architecture,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Admiralty Square,architecture,Voronezh region,Voronezh,"(Decimal('39.215972'), Decimal('51.657423'))"
Academic Dacha named IE Repin,architecture,Tver region,: VIP,"(Decimal('34.474116'), Decimal('57.727635'))"
Tower Syuyumbike,architecture,Republic of Tatarstan,Kazan,"(Decimal('49.108795'), Decimal('55.796289'))"
Bogoroditsk Palace Museum and Park,architecture,Tula region,Bogoroditsk,"(Decimal('38.142997'), Decimal('53.774659'))"
"The palace and park complex ""Marino""",architecture,Kursk region,Ivanovskoe,"(Decimal('34.934673'), Decimal('51.585939'))"
dom Daniluškina,architecture,Kurgan region,Mound,"(Decimal('65.334893'), Decimal('55.430319'))"
Ushkova house,architecture,Republic of Tatarstan,Kazan,"(Decimal('49.148302'), Decimal('55.761892'))"
House Decembrist II Gorbachevsky,architecture,Transbaikal region,Petrovsk-Zabaykalsky,"(Decimal('108.857217'), Decimal('51.276917'))"
Castle Complex Lyalah,architecture,The Republic of Ingushetia,guli,"(Decimal('44.804086'), Decimal('42.811538'))"
Sheremetev Castle in Yurino,architecture,Mari El Republic,Yurino,"(Decimal('46.253697'), Decimal('56.481747'))"
Golden Gate,architecture,Vladimir region,Vladimir,"(Decimal('38.542577'), Decimal('56.202276'))"
Mozhaisk Kremlin,architecture,Moscow region,Mozhaisk,"(Decimal('36.017358'), Decimal('55.506714'))"
Moscow Kremlin,architecture,Moscow,,"(Decimal('37.617734'), Decimal('55.751999'))"
Glinka Museum-Estate Novospasskoe,architecture,Smolensk region,,Not found
Tabachnaya factory,architecture,Lipetsk region,Dace,"(Decimal('38.503653'), Decimal('52.62419'))"
Manor Nechayev-Maltsev,architecture,Lipetsk region,Polibin,"(Decimal('38.978763'), Decimal('53.505994'))"
The clock on the street Bauman,architecture,Republic of Tatarstan,Kazan,"(Decimal('49.111472'), Decimal('55.792392'))"
Palace of labor,architecture,Volgograd region,Volgograd,"(Decimal('44.548964'), Decimal('48.746351'))"
Kazan Kremlin,architecture,Republic of Tatarstan,Kazan,"(Decimal('49.106144'), Decimal('55.799208'))"
Holy Trinity Cathedral in the village Poretsky,Shrines and temples,Chuvash Republic,,Not found
Resurrection Cathedral in Arzamas,Shrines and temples,Nizhny Novgorod Region,Arzamas,Not found
"""Walk of Fame Star""",military glory,Perm,Star,"(Decimal('56.313705'), Decimal('57.734526'))"
"Car ""ZIS-5""",military glory,Leningrad region,,Not found
Battle Glory Alley,military glory,Vladimir region,Vyazniki,"(Decimal('42.158862'), Decimal('56.247021'))"
The Heroes Alley,military glory,Leningrad region,podporozhye,"(Decimal('34.156813'), Decimal('60.912784'))"
The Heroes Alley,military glory,Volgograd region,,"(Decimal('44.51861'), Decimal('48.705932'))"
The Heroes Alley,military glory,Orenburg region,Sharlyksky,"(Decimal('54.741348'), Decimal('52.925998'))"
Avenue of Heroes of Agin-Buryat district,military glory,Transbaikal region,Aginskoe,"(Decimal('114.537849'), Decimal('51.103662'))"
Avenue of Heroes of the Soviet Union,military glory,Pskov region,Pskov,"(Decimal('28.332451'), Decimal('57.819274'))"
Alley of Heroes in the Victory Park,military glory,Kamchatka Krai,Petropavlovsk-Kamchatsky,"(Decimal('158.592596'), Decimal('53.071301'))"
Alley memory of the heroes,military glory,Belgorod region,Belgorod,"(Decimal('36.587223'), Decimal('50.59566'))"
Alley of Honorary citizen of the Khanty-Mansiysk Autonomous Okrug,military glory,Khanty-Mansi Autonomous Area,Khanty-Mansiysk,"(Decimal('67.670548'), Decimal('63.775592'))"
Walk of Fame,military glory,Kirov region,,"(Decimal('50.031733'), Decimal('58.560947'))"
Walk of Fame,military glory,Bryansk region,Gordeevka,"(Decimal('31.970259'), Decimal('52.957803'))"
The Heroes Alley,military glory,Saratov region,Balakovo,"(Decimal('47.778327'), Decimal('52.031103'))"
Alley hero-cities,military glory,Smolensk region,Smolensk,"(Decimal('32.045251'), Decimal('54.782635'))"
Avenue of pioneers-heroes,military glory,Ulyanovsk region,Ulyanovsk,"(Decimal('48.392613'), Decimal('54.307589'))"
Walk of fame,military glory,Krasnodar region,Krasnodar,"(Decimal('38.962'), Decimal('45.014033'))"
"Ensemble ""line of defense""",military glory,Krasnodar region,Novorossiysk,"(Decimal('37.768974'), Decimal('44.723912'))"
"Ensemble ""Little Earth""",military glory,Krasnodar region,Novorossiysk,"(Decimal('37.792061'), Decimal('44.690388'))"
"Coastal Battery №30 (Fort ""Maxim Gorky-1"")",military glory,Sevastopol,,"(Decimal('33.545994'), Decimal('44.624777'))"
bed of honor,military glory,Primorsky Krai,Vladivostok,"(Decimal('131.922208'), Decimal('43.116595'))"
Mass grave of 1943-1944,military glory,Novgorod region,Vekshina,"(Decimal('31.211488'), Decimal('57.627065'))"
"Mass grave of HF Fattyahutdinova, RR Ibarruri and VG Kamenschikova",military glory,Volgograd region,Volgograd,Not found
Mass grave in the village of Nizhnedevitsky,military glory,Voronezh region,Nižnedevick,"(Decimal('38.364045'), Decimal('51.549146'))"
Mass grave of soldiers of the Soviet Army,military glory,Rostov region,mine,Not found
Mass grave of soldiers killed in 1941-1943,military glory,Smolensk region,Prjevalskoe,Not found
Mass grave of soldiers killed during the Battle of Stalingrad,military glory,Volgograd region,Kletskaya,"(Decimal('43.061102'), Decimal('49.31469'))"
Mass grave of the defenders of Red Tsaritsyn in 1919,military glory,Volgograd region,Volgograd,"(Decimal('42.781628'), Decimal('48.594751'))"
Mass grave Communards,military glory,Sverdlovsk region,Ekaterinburg,"(Decimal('60.579059'), Decimal('56.835884'))"
Mass grave of Red Army,military glory,Kemerovo region,Guryevsk,"(Decimal('85.947635'), Decimal('54.285935'))"
Mass grave on Black Mountain,military glory,Ryazan Oblast,Mikhailov,Not found
Mass grave in the town cemetery,military glory,Moscow region,Zaraysk,"(Decimal('38.874845'), Decimal('54.756973'))"
Mass grave of Soviet soldiers who died during the Great Patriotic War,military glory,Belgorod region,Ivnya,"(Decimal('36.136924'), Decimal('51.062222'))"
Mass grave of the district Council members Kem shot invaders in 1918,military glory,The Republic of Karelia,Kem,Not found
Mass grave № 10,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 12,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 13,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 14,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 15,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 16,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 17,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 18,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 19,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 201,military glory,Voronezh region,Nikolskoye,"(Decimal('39.324416'), Decimal('51.716726'))"
Mass grave № 202,military glory,Voronezh region,,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 21,military glory,Voronezh region,,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 211,military glory,Voronezh region,Maslovka,"(Decimal('39.759399'), Decimal('50.998506'))"
Mass grave number 214,military glory,Voronezh region,Tavrovo,"(Decimal('41.458274'), Decimal('51.146043'))"
Mass grave № 3,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 35,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 4,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 5,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Mass grave № 6,military glory,Voronezh region,Voronezh,"(Decimal('39.163699'), Decimal('51.731053'))"
Bratskiy garden,military glory,Astrakhan region,Astrakhan,"(Decimal('48.03555'), Decimal('46.350239'))"
Brethren cemetery,military glory,Leningrad region,,"(Decimal('30.586108'), Decimal('60.847614'))"
Brethren cemetery,military glory,Sevastopol,,"(Decimal('33.55743'), Decimal('44.636914'))"
Armored boat AK-454,military glory,Perm,Permian,"(Decimal('56.229434'), Decimal('58.01045'))"
Бронепоезд &quot;Тульский рабочий&quot;,military glory,Tula region,Tula,Not found
Heroes Boulevard,military glory,Kemerovo region,Novokuznetsk,"(Decimal('87.146958'), Decimal('53.754731'))"
Victory Boulevard,military glory,Astrakhan region,Astrakhan,"(Decimal('48.046007'), Decimal('46.369961'))"
Victory Boulevard,military glory,Omsk region,Omsk,"(Decimal('73.382271'), Decimal('54.955076'))"
"Bust of Marshal of the Soviet Union, RJ Malinowski",military glory,Khabarovsk region,Khabarovsk,"(Decimal('135.152325'), Decimal('48.510399'))"
Eternal flame,military glory,Yamalo-Nenets Autonomous Okrug,Salekhard,"(Decimal('66.614399'), Decimal('66.529844'))"
The eternal flame (Victory Memorial),military glory,Arhangelsk region,Arkhangelsk,"(Decimal('40.515753'), Decimal('64.539911'))"
The eternal flame at the Square of the memory of heroes,military glory,Smolensk region,Smolensk,"(Decimal('32.046967'), Decimal('54.779047'))"
Eternal fire and Avenue of Heroes,military glory,Republic of Tatarstan,Chistopol,"(Decimal('50.643575'), Decimal('55.372334'))"
Eternal flame on the Field of Mars,military glory,St. Petersburg,St. Petersburg,"(Decimal('30.36046'), Decimal('59.886848'))"
Vishkilskie military camps,military glory,Kirov region,,Not found
"Military-Historical Museum ""Young defenders of the Motherland""",military glory,Kursk region,Kursk,Not found
Military-historical museum of the Far Eastern Military District,military glory,Khabarovsk region,Khabarovsk,"(Decimal('135.071917'), Decimal('48.480223'))"
Military-Historical Museum of the Battle of Kursk,military glory,Kursk region,Kursk,"(Decimal('36.188649'), Decimal('51.756828'))"
Military-Historical Museum of the Patriotic War of 1812,military glory,Kaluga region,Dubna,"(Decimal('36.470981'), Decimal('55.011706'))"
Military-Historical Museum of the Pskov region,military glory,Pskov region,Isle,"(Decimal('28.343806'), Decimal('57.345188'))"
Military-Historical Museum of the Pskov region,military glory,Pskov region,Isle,"(Decimal('28.343806'), Decimal('57.345188'))"
Military-Historical Museum of the Pacific Fleet,military glory,Primorsky Krai,Vladivostok,Not found
Military-Historical Museum of the Pacific Fleet,military glory,Primorsky Krai,Vladivostok,Not found
Military-Historical Museum of Black Sea Fleet,military glory,Sevastopol,,Not found
Museum of Military History Center of additional education for children,military glory,Kirov region,Kotelnich,"(Decimal('48.347508'), Decimal('58.303426'))"
Military Medical Museum of the Russian Federation Ministry of Defense,military glory,St. Petersburg,,"(Decimal('30.315868'), Decimal('59.939095'))"
"War Memorial complex ""Victory Banner""",military glory,Lipetsk region,,Not found
"Naval History Museum ""Sea Shower""",military glory,Stavropol region,Kislovodsk,Not found
Naval Museum of the Northern Fleet,military glory,Murmansk region,Murmansk,"(Decimal('33.092022'), Decimal('69.021014'))"
"Naval Museum of the Northern Fleet, Memorial Complex ""Red Banner submarine"" K-21 """,military glory,Murmansk region,Severomorsk,Not found
Военно-патриотический лагерь &quot;Честь имею&quot;,military glory,Sakhalin region,,Not found
"Military-patriotic recreation park of the Russian Federation ""Patriot"" Armed Forces",military glory,Moscow region,Cuban,"(Decimal('36.828268'), Decimal('55.571052'))"
Military Technical Museum in Ivanovo,military glory,Moscow region,Borough Chernogolovka,Not found
War memorial,military glory,Lipetsk region,Terbunı,"(Decimal('38.279963'), Decimal('52.147441'))"
"War memorial ""Valdaukadel""",military glory,Kaliningrad region,Gardening,"(Decimal('21.650611'), Decimal('54.46445'))"
"War memorial ""Sinyavino Heights""",military glory,Leningrad region,,"(Decimal('31.098723'), Decimal('59.833606'))"
